last_window_sale_amount,shop_code,class_code,date,time,total_sale_amount,last_hour_sale_amount,total_pass_rate,last_hour_pass_rate,rest_inventory,prom,discount,
16.12,100001001,0401,2018-07-04,15,32,2,0.747810858,0.032691185,24,1,6.9,
5.52,100001001,0401,2018-07-04,16,33,1,0.775248103,0.027437245,23,1,5.9,
15.56,100001001,0401,2018-07-04,17,36,3,0.813193228,0.037945126,20,1,6.9,
21.23,100001001,0401,2018-07-04,18,39,3,0.845300642,0.032107414,17,1,6.9,
51.94,100001001,0401,2018-07-04,19,48,9,0.892586106,0.047285464,9,0,,
43.6,100001001,0401,2018-07-04,20,54,6,0.928779918,0.036193812,3,0,,
0,100001001,0401,2018-07-04,21,54,0,0.948044367,0.019264448,3,0,,
25.35,100001001,0401,2018-07-04,22,57,3,0.968476357,0.020431991,0,0,,
0,100001001,0401,2018-07-04,23,57,0,0.99007589,0.021599533,0,0,,
80.61,100001001,0401,2018-07-05,13,25,11,0.640121581,0.162917933,28,1,6.9,
37.92,100001001,0401,2018-07-05,14,30,5,0.720972644,0.080851064,23,1,6.9,
29.88,100001001,0401,2018-07-05,15,34,4,0.755015198,0.034042553,18,1,6.9,
14.06,100001001,0401,2018-07-05,16,36,2,0.781762918,0.02674772,17,1,6.9,
5.52,100001001,0401,2018-07-05,17,37,1,0.812765957,0.03100304,16,1,6.9,
21.09,100001001,0401,2018-07-05,18,40,3,0.843768997,0.03100304,13,0,,
15.48,100001001,0401,2018-07-05,19,42,2,0.885106383,0.041337386,11,0,,
14.06,100001001,0401,2018-07-05,20,44,2,0.917325228,0.032218845,9,1,6.9,
8,100001001,0401,2018-07-05,21,45,1,0.939209726,0.021884498,8,1,3.9,
5.3,100001001,0401,2018-07-05,22,47,2,0.965349544,0.026139818,6,1,3.9,
9.06,100001001,0401,2018-07-05,23,50,3,0.987841945,0.022492401,0,0,,
90.79,100001001,0401,2018-07-06,13,26,11,0.646916566,0.185610641,20,0,,
47,100001001,0401,2018-07-06,14,32,6,0.732769045,0.085852479,14,0,,
37.28,100001001,0401,2018-07-06,15,37,5,0.76783555,0.035066505,9,0,,
